Pais,TipoEnergia,Indicador,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
Spain,Electricity,"Electricity, CHP and heat plants (PJ)",1120,1051,1074,1050,1058,1013,990,1000,977,983,979,976,936,976,1037,
Spain,Electricity,"Oil refineries, transformation (PJ)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,Electricity,Total final consumption (PJ),918,863,881,877,865,828,817,835,837,861,858,844,791,820,808,
Spain,Electricity,Industry (PJ),339,276,265,264,261,255,258,274,280,292,283,273,248,273,255,
Spain,Electricity,Transport (PJ),11,11,12,14,14,14,14,14,14,14,15,14,12,13,14,
Spain,Electricity,Residential (PJ),250,257,272,274,270,256,255,252,251,257,270,263,264,263,264,
Spain,Electricity,Commercial and public services (PJ),287,292,302,295,291,275,254,267,264,271,268,269,242,249,253,
Spain,Electricity,Other final consumption (PJ),31,27,31,29,29,29,36,28,28,27,22,25,25,22,20,
Spain,Heat,Production (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,Heat,Imports (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,Heat,Exports (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,Heat,Total energy supply (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,Heat,"Electricity, CHP and heat plants (PJ)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,Heat,"Oil refineries, transformation (PJ)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,Heat,Total final consumption (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,Heat,Industry (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,Heat,Transport (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,Heat,Residential (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,Heat,Commercial and public services (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,Heat,Other final consumption (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,Total,Production (PJ),1270,1276,1447,1345,1408,1459,1476,1411,1419,1396,1409,1415,1443,1446,1454,
Spain,Total,Imports (PJ),5686,5220,5092,5101,5245,4992,5166,5230,5219,5606,5547,5413,4538,4853,5287,
Spain,Total,Exports (PJ),-556,-604,-637,-716,-1058,-1244,-1337,-1260,-1287,-1364,-1316,-1203,-1182,-1222,-1297,
Spain,Total,Total energy supply (PJ),5801,5338,5334,5253,5243,4890,4782,4961,4985,5246,5222,5078,4568,4808,4815,
Spain,Total,"Electricity, CHP and heat plants (PJ)",-1184,-1041,-1012,-1080,-1167,-995,-1009,-1096,-1006,-1100,-996,-936,-837,-804,-889,
Spain,Total,"Oil refineries, transformation (PJ)",-27,-25,-27,-25,-36,-36,-51,-35,-44,-56,-59,-66,-50,-41,-72,
Spain,Total,Total final consumption (PJ),4098,3808,3862,3720,3545,3395,3293,3327,3419,3509,3594,3588,3224,3462,3409,
Spain,Total,Industry (PJ),1053,867,875,867,844,836,806,776,825,855,861,861,787,840,745,
Spain,Total,Transport (PJ),1543,1444,1421,1347,1236,1170,1179,1221,1270,1317,1348,1365,1081,1259,1347,
Spain,Total,Residential (PJ),648,666,707,652,648,621,614,634,594,595,628,596,600,607,587,
Spain,Total,Commercial and public services (PJ),388,393,409,427,422,404,368,390,401,410,414,413,377,396,391,
Spain,Total,Other final consumption (PJ),467,438,450,427,395,364,325,307,329,331,343,353,378,360,338,
,,,,,,,,,,,,,,,,,,
Italy,"Coal, peat and oil shale",Production (PJ),3,2,3,2,2,2,2,2,0,0,0,0,0,0,0,
Italy,"Coal, peat and oil shale",Imports (PJ),680,512,586,625,645,552,550,527,459,402,371,276,207,233,328,
Italy,"Coal, peat and oil shale",Exports (PJ),-7,-8,-9,-8,-9,-7,-10,-11,-11,-10,-10,-8,-9,-8,-10,
Italy,"Coal, peat and oil shale",Total energy supply (PJ),661,518,572,642,658,567,547,515,460,391,358,271,213,232,310,
Italy,"Coal, peat and oil shale","Electricity, CHP and heat plants (PJ)",-485,-421,-425,-473,-504,-459,-440,-438,-369,-332,-296,-209,-151,-162,-243,
Italy,"Coal, peat and oil shale","Oil refineries, transformation (PJ)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Italy,"Coal, peat and oil shale",Total final consumption (PJ),87,45,79,95,95,68,58,40,40,30,35,34,30,38,33,
Italy,"Coal, peat and oil shale",Industry (PJ),80,41,73,88,89,62,54,37,40,30,35,34,30,38,33,
Italy,"Coal, peat and oil shale",Transport (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Italy,"Coal, peat and oil shale",Residential (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Italy,"Coal, peat and oil shale",Commercial and public services (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Italy,"Coal, peat and oil shale",Other final consumption (PJ),7,4,5,7,6,5,4,3,0,0,0,0,0,0,0,
Italy,"Crude, NGL and feedstocks",Production (PJ),239,208,235,235,236,241,250,242,169,187,213,197,245,219,202,
Italy,"Crude, NGL and feedstocks",Imports (PJ),3753,3455,3584,3295,3169,2782,2506,2881,2817,2941,2741,2755,2227,2490,2699,
Italy,"Crude, NGL and feedstocks",Exports (PJ),-90,-96,-73,-60,-91,-61,-54,-53,-76,-69,-82,-51,-52,-51,-111,
Italy,"Crude, NGL and feedstocks",Total energy supply (PJ),3917,3570,3706,3551,3318,2898,2694,3062,2940,3095,2902,2898,2388,2662,2762,
Italy,"Crude, NGL and feedstocks","Electricity, CHP and heat plants (PJ)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Italy,"Crude, NGL and feedstocks","Oil refineries, transformation (PJ)",-3975,-3630,-3784,-3595,-3422,-2925,-2785,-3129,-3018,-3168,-3032,-3110,-2550,-2907,-3083,
Italy,"Crude, NGL and feedstocks",Total final consumption (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Italy,"Crude, NGL and feedstocks",Industry (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Italy,"Crude, NGL and feedstocks",Transport (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Italy,"Crude, NGL and feedstocks",Residential (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Italy,"Crude, NGL and feedstocks",Commercial and public services (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Italy,"Crude, NGL and feedstocks",Other final consumption (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Italy,Oil products,Production (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Italy,Oil products,Imports (PJ),503,487,472,465,407,482,477,499,607,616,672,619,520,518,572,
Italy,Oil products,Exports (PJ),-1152,-1038,-1187,-1091,-1181,-981,-833,-1131,-1176,-1276,-1168,-1128,-941,-1074,-1064,
Italy,Oil products,Total energy supply (PJ),-885,-737,-972,-925,-993,-665,-535,-820,-782,-918,-770,-802,-576,-602,-729,
Italy,Oil products,"Electricity, CHP and heat plants (PJ)",-401,-319,-308,-274,-245,-189,-176,-189,-181,-174,-172,-155,-147,-108,-145,
Italy,Oil products,"Oil refineries, transformation (PJ)",4028,3676,3827,3646,3474,2971,2835,3146,3037,3197,3066,3140,2570,2934,3119,
Italy,Oil products,Total final consumption (PJ),2526,2335,2279,2246,2073,1948,2003,1974,1931,1903,1921,1896,1600,1839,1922,
Italy,Oil products,Industry (PJ),264,181,146,146,137,115,94,116,111,82,85,74,68,113,122,
Italy,Oil products,Transport (PJ),1612,1527,1488,1482,1389,1360,1422,1389,1369,1316,1350,1358,1083,1313,1401,
Italy,Oil products,Residential (PJ),165,159,139,129,118,113,94,99,96,87,92,83,78,79,70,
Italy,Oil products,Commercial and public services (PJ),44,35,35,32,26,26,25,24,23,23,23,22,22,24,22,
Italy,Oil products,Other final consumption (PJ),441,433,471,458,403,334,368,345,331,396,372,359,349,311,306,
Italy,Natural gas,Production (PJ),317,275,288,290,295,265,245,232,198,190,187,165,138,109,107,
Italy,Natural gas,Imports (PJ),2636,2375,2584,2413,2322,2125,1912,2101,2239,2388,2327,2437,2277,2503,2489,
Italy,Natural gas,Exports (PJ),-7,-4,-5,-4,-5,-8,-8,-8,-7,-9,-13,-11,-11,-53,-158,
